Question,Answer
How many years of work experience do you have with Job Description Development?,6
How many years of work experience do you have with Self-Directed Learning?,7
How many years of work experience do you have with Online PR?,7
How many years of work experience do you have with Technical Marketing?,7
How many years of work experience do you have with Tennis?,2
How many years of work experience do you have with Programming?,2
How many years of work experience do you have with Enterprise Systems?,5
How many years of work experience do you have with Malware Analysis?,5
How many years of BD experience do you currently have?,5
How many years of work experience do you have with Traditional Media?,7
How many years of work experience do you have with Swedish?,21
How many years of work experience do you have with Crowdfunding?,7
How many years of work experience do you have with End to End Recruiting?,4
How many years of work experience do you have with Green Technology?,1
How many years of work experience do you have with Databases?,9
How many years of urn:li:industry:148 experience do you currently have?,5
How many years of work experience do you have with Business Development?,4
How many years of work experience do you have with Publications?,7
How many years of work experience do you have with Talent Management?,9
How many years of work experience do you have with Cyber Security Risk?,9
How many years of work experience do you have with Figma (Software)?,1
Description,
Major / Field of study,
How many years of work experience do you have with Marketing?,12
How many years of work experience do you have with Graphic Design?,7
Are you legally authorized to work in PT?,Yes
How many years of urn:li:industry:103 experience do you currently have?,7
How many years of work experience do you have with Organization Skills?,7
How many years of work experience do you have with User Experience Design (UED)?,1
How many years of work experience do you have with Professional Skills?,7
How many years of work experience do you have with VBA?,0
How many years of work experience do you have with Teamwork?,14
How many years of work experience do you have with Tableau?,0
How many years of work experience do you have with Tableau?,1
How many years of work experience do you have with R (Programming Language)?,1
How many years of work experience do you have with Technological Innovation?,4
How many years of work experience do you have with Autonomous Vehicles?,7
How many years of urn:li:industry:126 experience do you currently have?,16
How many years of work experience do you have with Budgeting?,8
How many years of work experience do you have with Strategic Communications?,6
How many years of work experience do you have with Sprinklr?,0
First name,
How many years of work experience do you have with Pyramid?,0
How many years of urn:li:industry:33 experience do you currently have?,12
How many years of work experience do you have with Technological Solutions?,4
How many years of work experience do you have with Microsoft Excel?,5
School,
How many years of work experience do you have with Adobe Creative Suite?,11
How many years of work experience do you have with Open-Source Software?,7
What is your level of proficiency in chi?,None
City,
How many years of work experience do you have with Entertainment Law?,5
How many years of work experience do you have with Digital Marketing Content?,14
How many years of work experience do you have with Business News?,7
How many years of ADVR experience do you currently have?,7
What is your level of proficiency in ukr?,None
How many years of work experience do you have with Marketing Campaigns?,10
What is your average deal size in EUR (in thousands)?,2500
How many years of work experience do you have with English?,21
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
How many years of work experience do you have with Financial Planning and Analysis (FP&A)?,5
How many years of work experience do you have with Web Analytics?,5
What is your level of proficiency in tha?,None
How many years of work experience do you have with Project Plans?,7
How many years of work experience do you have with Business Strategy?,9
How many years of work experience do you have with Community Engagement?,7
How many years of work experience do you have with Machine Learning?,2
Degree,
How many years of MGMT experience do you currently have?,7
How many years of work experience do you have with Barter?,0
How many years of work experience do you have with Knowledge Acquisition?,74
How many years of work experience do you have with Influencer Marketing?,8
How many years of work experience do you have with PyTorch?,1
How many years of work experience do you have with Ad Serving?,8
How many years of work experience do you have with Mobile Applications?,3
How many years of work experience do you have with Financial Modeling?,3
How many years of work experience do you have with GCIH?,0
How many years of work experience do you have with Facebook Ads Manager?,7
How many years of work experience do you have with Quality Assurance?,2
How many years of work experience do you have with Adobe Premiere Pro?,7
How many years of work experience do you have with Jupyter?,0
Your title,
How many years of GENB experience do you currently have?,4
How many years of work experience do you have with Media Buying?,7
How many years of work experience do you have with Financial Calculations?,5
How many years of work experience do you have with Microsoft Power BI?,6
Street address line 1,
How many years of work experience do you have with iOS?,10
How many years of work experience do you have with Finance?,5
How many years of work experience do you have with Instagram Advertising?,7
How many years of work experience do you have with B2C e-commerce?,4
How many years of work experience do you have with Scientific Writing?,1
How many years of work experience do you have with Politics?,14
How many years of work experience do you have with Startups?,6
