Question,Answer
How many years of MRKT experience do you currently have?,10
How many years of work experience do you have with Product Analytics?,7
How many years of work experience do you have with Product Development?,3
How many years of ART experience do you currently have?,9
How many years of work experience do you have with Marketing Operations?,9
Are you legally authorized to work in IE?,Yes
How many years of work experience do you have with Microsoft SQL Server?,0
How many years of work experience do you have with Fraud Investigations?,5
Are you legally authorized to work in se?,Yes
How many years of work experience do you have with Science?,5
How many years of work experience do you have with Equity Compensation?,2
Are you legally authorized to work in the United States?,Yes
How many years of work experience do you have with Phone Screens?,9
How many years of work experience do you have with Materials?,1
How many years of work experience do you have with Web3?,4
How many years of IT experience do you currently have?,6
How many years of work experience do you have with Financial Markets?,7
Description,
How many years of work experience do you have with Financial Services?,3
How many years of work experience do you have with Online Content?,7
How many years of work experience do you have with Calypso?,0
How many years of work experience do you have with Purchasing?,5
Are you legally authorized to work in NL?,Yes
How many years of work experience do you have with Climate Change?,6
How many years of work experience do you have with Change Management?,7
What is your level of proficiency in fre?,None
How many years of DSGN experience do you currently have?,4
How many years of work experience do you have with Quantitative Research?,2
How many years of work experience do you have with Google Data Studio?,3
How many years of work experience do you have with People and Culture?,5
How many years of work experience do you have with Financial Analysis?,5
How many years of RSCH experience do you currently have?,7
How many years of work experience do you have with .NET Framework?,2
How many years of work experience do you have with Adobe InDesign?,10
How many years of work experience do you have with Design?,10
How many years of work experience do you have with Online Content Creation?,7
How many years of work experience do you have with Mac?,14
How many years of work experience do you have with Negotiation?,10
How many years of work experience do you have with Social Media Advertising?,7
How many years of work experience do you have with Time Management?,12
How many years of work experience do you have with Social Media Marketing?,7
How many years of urn:li:industry:104 experience do you currently have?,7
How many years of work experience do you have with International News?,7
How many years of urn:li:industry:81 experience do you currently have?,4
What is your level of proficiency in pol?,None
How many years of work experience do you have with Candidate Experience?,7
How many years of work experience do you have with Working Experience?,10
State,
How many years of urn:li:industry:45 experience do you currently have?,3
<strong>Disability</strong>,No
How many years of work experience do you have with Digital Asset Management?,8
Do you have a valid driver's license?,Yes
Have you completed the following level of education: Master of Business Administration?,No
Company,
How many years of work experience do you have with Paid Social Media?,7
How many years of work experience do you have with Workday Human Capital Management?,4
How many years of work experience do you have with Creative Strategy?,7
How many years of work experience do you have with Interviewing?,10
How many years of work experience do you have with Entertainment?,44
How many years of work experience do you have with Adobe Photoshop?,12
How many years of work experience do you have with Creative Writing?,7
How many years of work experience do you have with Public Relations?,6
Degree,
How many years of urn:li:industry:98 experience do you currently have?,7
How many years of work experience do you have with Microsoft Products?,12
How many years of work experience do you have with Copywriting?,2
How many years of work experience do you have with Customer Support?,10
How many years of work experience do you have with Digital Campaigns?,14
How many years of work experience do you have with Strategy?,9
How many years of work experience do you have with Marketing Technology?,10
How many years of work experience do you have with Video Conferencing?,10
How many years of work experience do you have with Economics?,9
How many years of work experience do you have with Digital Journalism?,14
How many years of ANLS experience do you currently have?,10
How many years of work experience do you have with Service Delivery?,1
Race/Ethnicity,I prefer not to specify
How many years of work experience do you have with Facility Management (FM)?,5
How many years of work experience do you have with Sales Development?,3
How many years of work experience do you have with InDesign?,6
How many years of work experience do you have with TensorFlow?,1
How many years of work experience do you have with Media Marketing?,12
Your title,
How many years of work experience do you have with Geopolitics?,7
How many years of work experience do you have with Brand Strategy?,7
How many years of work experience do you have with Digital Marketing?,10
How many years of work experience do you have with User Interface Design?,9
How many years of work experience do you have with Publishing?,5
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Pinterest?,7
How many years of urn:li:industry:101 experience do you currently have?,5
How many years of work experience do you have with B2B Marketing?,9
How many years of work experience do you have with Building Business Relationships?,7
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Social Media Content Creation?,10
