Question,Answer
How many years of PR experience do you currently have?,10
How many years of work experience do you have with Creative Branding?,14
How many years of work experience do you have with Adobe Flash?,9
How many years of TRNG experience do you currently have?,9
Are you legally authorized to work in NO?,Yes
How many years of work experience do you have with Operations?,9
How many years of work experience do you have with DevOps?,1
How many years of work experience do you have with Music?,9
How many years of PRDM experience do you currently have?,4
How many years of work experience do you have with Google Ads?,10
How many years of urn:li:industry:110 experience do you currently have?,3
How many years of work experience do you have with Content Strategy?,9
How many years of work experience do you have with IT Services?,7
How many years of work experience do you have with Cryptocurrency?,5
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of work experience do you have with Editing?,9
How many years of work experience do you have with Web Content Writing?,7
How many years of work experience do you have with Digital Strategy?,9
How many years of FIN experience do you currently have?,5
How many years of work experience do you have with Social Media?,10
How many years of work experience do you have with Journalism?,8
How many years of work experience do you have with Git?,1
How many years of urn:li:industry:47 experience do you currently have?,3
How many years of work experience do you have with Applicant Tracking Systems?,4
How many years of work experience do you have with Cross-Functional Team Management?,7
How many years of work experience do you have with Online News?,7
How many years of work experience do you have with Application Development?,6
How many years of work experience do you have with Growth Hacking?,7
How many years of work experience do you have with Legal Consulting?,2
How many years of work experience do you have with YouTube?,14
How many years of work experience do you have with Invoice Processing?,4
How many years of work experience do you have with Digital Media?,10
How many years of work experience do you have with Media Relations?,7
How many years of work experience do you have with Radio Advertising?,10
How many years of work experience do you have with Networking?,7
How many years of work experience do you have with Investment Banking?,3
Are you legally authorized to work in ES?,Yes
How many years of work experience do you have with Audio Visual (AV) Systems?,2
How many years of work experience do you have with Amazon Web Services (AWS)?,1
How many years of work experience do you have with Project Management?,7
What is your level of proficiency in eng?,Native or bilingual
What is your level of proficiency in spa?,None
How many years of work experience do you have with Project Coordination?,7
How many years of work experience do you have with Equity Research?,3
How many years of work experience do you have with Lead?,0
How many years of work experience do you have with Audio Visual (AV) Systems?,0
How many years of work experience do you have with Paid Media Advertising?,2
How many years of work experience do you have with Microsoft Azure?,2
School,
How many years of work experience do you have with Agile Software Development?,5
How many years of work experience do you have with Blockchain?,7
How many years of work experience do you have with Radio Production?,7
How many years of work experience do you have with Proposal Writing?,10
Do you speak English?,Yes
How many years of urn:li:industry:113 experience do you currently have?,7
How many years of work experience do you have with Project Managers?,8
How many years of urn:li:industry:99 experience do you currently have?,7
How many years of work experience do you have with JavaScript?,0
How many years of work experience do you have with International Relations?,12
How many years of work experience do you have with Performance Marketing?,10
How many years of work experience do you have with Research Skills?,3
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Management?,7
Company,
"How many years of work experience do you have with Environmental, Social, and Governance (ESG)?",7
How many years of work experience do you have with Growth-Oriented?,10
Country,
What is your level of proficiency in ces?,None
How many years of work experience do you have with Identifying New Opportunities?,7
How many years of work experience do you have with Non-Governmental Organizations (NGOs)?,3
How many years of work experience do you have with Stylists?,1
How many years of work experience do you have with Social Media Communications?,6
Degree,
How many years of work experience do you have with Google Slides?,10
How many years of work experience do you have with LinkedIn Recruiter?,7
Please submit a resume or LinkedIn profile, -869188122.pdf
How many years of work experience do you have with Microsoft Outlook?,7
How many years of work experience do you have with Adobe Sketch?,3
How many years of work experience do you have with Board of Directors?,3
How many years of work experience do you have with Go (Programming Language)?,0
How many years of work experience do you have with Nonprofit Volunteering?,7
How many years of urn:li:industry:84 experience do you currently have?,5
How many years of work experience do you have with Google Workspace?,4
What is your level of proficiency in nor?,Professional
Your title,
How many years of work experience do you have with Crypto?,6
How many years of work experience do you have with Software Sales?,1
How many years of urn:li:industry:31 experience do you currently have?,0
How many years of work experience do you have with Corporate Finance?,6
What is your level of proficiency in swe?,Native or bilingual
What is your level of proficiency in heb?,None
How many years of work experience do you have with Pay Per Click (PPC)?,0
How many years of urn:li:industry:135 experience do you currently have?,0
How many years of work experience do you have with Legal Matters?,2
How many years of work experience do you have with DevSecOps?,3
